field,tile,band,pointing,exptime,MJD,magzpt_1,magzpt_2,magzpt_3,magzpt_4,seeing_1,seeing_2,seeing_3,seeing_4,deprec_mf,deprec_1,deprec_2,deprec_3,deprec_4,filename,project,obj_band,tag
EN,1,K,0_0,5.00000,53469.55631,24.07360,24.05780,24.02540,24.06470,0.79871,0.72508,0.70316,0.77490,0,0,0,0,0,w20050409_02127_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,J,0_0,5.00000,53470.55668,24.49930,24.50460,24.51070,24.50120,0.86875,0.84165,0.84555,0.84084,0,0,0,0,0,w20050410_01943_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,J,1_0,5.00000,53470.56764,24.51050,24.49290,24.52630,24.51920,0.88623,0.83186,0.85176,0.88598,0,0,0,0,0,w20050410_02043_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,J,0_1,5.00000,53470.57874,24.49870,24.48630,24.50880,24.51470,0.96800,0.90335,0.91386,0.93149,0,0,0,0,0,w20050410_02143_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,J,1_1,5.00000,53470.58973,24.48580,24.48550,24.48180,24.48060,1.15359,1.16221,1.11542,1.09474,0,0,0,0,0,w20050410_02243_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,J,1_1,5.00000,53473.51991,24.39790,24.39910,24.39910,24.39710,1.02778,1.00293,0.93516,0.94429,0,0,0,0,0,w20050413_02218_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,J,1_0,5.00000,53473.54803,24.32220,24.29370,24.33130,24.32400,0.96018,0.92535,0.90525,0.90677,0,0,0,0,0,w20050413_02441_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,J,0_1,5.00000,53473.55889,24.45700,24.44880,24.45940,24.46940,0.94457,0.91673,0.90083,0.89283,0,0,0,0,0,w20050413_02541_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,J,1_1,5.00000,53473.56992,24.48080,24.48180,24.48260,24.47830,1.06544,1.04531,1.03220,1.01570,0,0,0,0,0,w20050413_02641_sf_st,U/UKIDSS/DXS_SV,J,EN01J
EN,1,K,1_0,5.00000,53476.58304,23.71420,23.69830,23.71240,23.74470,1.12877,1.09766,1.17697,1.16045,0,0,0,0,0,w20050416_00924_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53476.59421,23.91410,23.88210,23.89090,23.93050,0.91757,0.88820,0.96859,0.93746,0,0,0,0,0,w20050416_01024_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53476.60565,23.71500,23.71510,23.67910,23.73100,1.09552,1.05259,1.02546,1.08743,0,0,0,0,0,w20050416_01124_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53477.54567,24.07200,24.06390,24.04410,24.06810,0.93207,0.84522,0.85186,0.92650,0,0,0,0,0,w20050417_01882_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53477.55662,24.07650,24.04830,24.04100,24.07660,0.90316,0.84062,0.84676,0.92513,0,0,0,0,0,w20050417_01982_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53477.56777,24.04340,24.02640,24.00510,24.03930,0.99195,0.95324,0.96610,1.01411,0,0,0,0,0,w20050417_02082_sf_st,U/UKIDSS/DXS_SV,K,EN01K
LH,1,K,0_0,5.00000,53479.35641,24.06600,24.07100,24.06080,24.04480,1.00718,0.95551,0.87371,0.93253,0,0,0,0,0,w20050419_00662_sf_st,U/UKIDSS/DXS_SV,K,LH01K
LH,1,K,1_0,5.00000,53479.36861,24.09730,24.08640,24.05740,24.10930,1.03249,1.00057,0.91252,0.96664,0,0,0,0,0,w20050419_00762_sf_st,U/UKIDSS/DXS_SV,K,LH01K
LH,1,K,0_1,5.00000,53479.37990,24.06900,24.09030,24.05720,24.07180,1.08159,1.01091,0.94554,1.03043,0,0,0,0,0,w20050419_00862_sf_st,U/UKIDSS/DXS_SV,K,LH01K
LH,1,K,1_1,5.00000,53479.39119,24.03690,24.05500,24.06120,24.02160,1.08999,1.08953,1.01580,1.07578,0,0,0,0,0,w20050419_00962_sf_st,U/UKIDSS/DXS_SV,K,LH01K
EN,1,K,0_0,5.00000,53482.40223,24.06850,24.05070,24.01670,24.05300,0.97810,0.90724,0.83501,0.93855,0,0,0,0,0,w20050422_01135_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53482.41316,24.08300,24.07340,24.06590,24.09400,0.96167,0.87304,0.81783,0.92259,0,0,0,0,0,w20050422_01235_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53482.42407,24.07980,24.05290,24.04450,24.08270,0.94548,0.82178,0.79072,0.91481,0,0,0,0,0,w20050422_01335_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53482.43565,24.07700,24.06790,24.04790,24.07940,0.92085,0.79965,0.76041,0.88662,0,0,0,0,0,w20050422_01435_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_0,5.00000,53482.45946,24.06870,24.04920,24.02410,24.06980,0.92462,0.79152,0.73514,0.88025,0,0,0,0,0,w20050422_01561_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53482.47032,24.08930,24.07400,24.05850,24.09340,0.91655,0.77883,0.73558,0.88212,0,0,0,0,0,w20050422_01661_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53482.48120,24.08460,24.06220,24.05060,24.08800,0.91589,0.76839,0.72244,0.89262,0,0,0,0,0,w20050422_01761_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53482.49263,24.07390,24.06010,24.05550,24.07390,0.92022,0.76738,0.71478,0.85901,0,0,0,0,0,w20050422_01861_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53482.52865,24.08490,24.07260,24.05870,24.08790,0.92831,0.78260,0.69726,0.85762,0,0,0,0,0,w20050422_02087_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53482.53949,24.08330,24.05580,24.04920,24.07800,0.88436,0.72696,0.69128,0.85548,0,0,0,0,0,w20050422_02187_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53482.55051,24.06780,24.06530,24.04350,24.06610,0.84874,0.68072,0.65881,0.81908,0,0,0,0,0,w20050422_02287_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_0,5.00000,53483.48640,24.06720,24.04240,24.01910,24.05620,0.99724,0.80127,0.77470,1.02497,0,0,0,0,0,w20050423_01629_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53483.49803,24.08880,24.07650,24.05890,24.09290,1.05784,0.86725,0.80981,1.04014,0,0,0,0,0,w20050423_01729_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53483.50889,24.08740,24.06220,24.04230,24.07910,1.05208,0.86231,0.81336,1.03402,0,0,0,0,0,w20050423_01829_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53483.52071,24.06550,24.06380,24.05130,24.07780,0.99963,0.81585,0.78585,0.97211,0,0,0,0,0,w20050423_01929_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_0,5.00000,53484.41544,24.06700,24.05340,24.01460,24.05310,0.93760,0.74207,0.83084,1.04733,0,0,0,0,0,w20050424_01151_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53484.42672,24.07700,24.06910,24.04770,24.07910,0.97888,0.76680,0.83479,1.07411,0,0,0,0,0,w20050424_01251_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53484.43779,24.07700,24.06410,24.04390,24.07520,0.99327,0.76023,0.78810,1.07049,0,0,0,0,0,w20050424_01351_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53484.44866,24.07700,24.06370,24.03780,24.07560,1.07442,0.82059,0.82295,1.06005,0,0,0,0,0,w20050424_01451_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_0,5.00000,53484.48151,24.06700,24.04280,24.00280,24.05220,0.93023,0.80795,0.87705,1.09324,0,0,0,0,0,w20050424_01584_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53484.49236,24.07700,24.06940,24.04030,24.08040,0.98073,0.82489,0.92360,1.13848,0,0,0,0,0,w20050424_01684_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53484.50333,24.07500,24.05640,24.03620,24.08100,1.02299,0.78745,0.87674,1.18822,0,0,0,0,0,w20050424_01784_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53484.51720,24.05940,24.05220,24.02360,24.06000,1.02253,0.78054,0.86071,1.16272,0,0,0,0,0,w20050424_01885_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_0,5.00000,53484.52872,24.05110,24.03440,24.00230,24.04120,1.05362,0.79145,0.86190,1.16355,0,0,0,0,0,w20050424_01985_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53484.53964,24.08640,24.07510,24.04850,24.08140,1.04324,0.76458,0.83169,1.10962,0,0,0,0,0,w20050424_02085_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53484.55079,24.07760,24.06030,24.04270,24.08630,1.03523,0.77918,0.84198,1.13184,0,0,0,0,0,w20050424_02185_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53484.56163,24.06730,24.05640,24.03250,24.06550,1.02852,0.78529,0.84158,1.08817,0,0,0,0,0,w20050424_02285_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_0,5.00000,53485.54226,24.04730,24.03230,24.00100,24.03400,1.19115,0.97056,1.04904,1.27761,0,0,0,0,0,w20050425_01676_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_0,5.00000,53485.55307,24.06690,24.05950,24.03790,24.06690,1.14542,0.94685,1.01911,1.23587,0,0,0,0,0,w20050425_01776_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,0_1,5.00000,53485.56390,24.05260,24.02700,24.00870,24.05130,1.18539,0.99673,1.02469,1.21547,0,0,0,0,0,w20050425_01876_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,1,K,1_1,5.00000,53485.57627,24.04610,24.04640,24.01990,24.04800,1.25566,1.06799,1.12182,1.33448,0,0,0,0,0,w20050425_01976_sf_st,U/UKIDSS/DXS_SV,K,EN01K
EN,2,K,0_0,5.00000,53485.59163,24.02260,24.05540,24.01760,24.06970,1.28668,1.10426,1.11581,1.37673,0,0,0,0,0,w20050425_02077_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_1,5.00000,53485.61594,24.02530,24.02750,24.02100,24.02670,1.30222,1.11963,1.10580,1.36884,0,0,0,0,0,w20050425_02278_sf_st,U/UKIDSS/DXS_SV,K,EN02K
EN,2,K,0_0,5.00000,53486.42991,24.02910,24.06280,24.02580,24.07060,1.03010,0.81989,0.92070,1.12518,0,0,0,0,0,w20050426_01649_sf_st,U/UKIDSS/DXS_SV,K,EN02K
